"","match","pf_o_int","attr_o","intel_o","fun_o","prob_o","attr","fun","shar","prob"
"1","0",0.4,0.340909090909091,0.363636363636364,0.345454545454546,0.4,0.6,0.7,0.5,0.6
"2","0",0,0.397727272727273,0.454545454545455,0.302272727272727,0.4,0.7,0.8,0.6,0.5
"3","1",0.38,0.416666666666667,0.333333333333333,0.316666666666667,1,0.5,0.8,0.7,0.5
"4","1",0.3,0.357142857142857,0.36734693877551,0.310204081632653,0.7,0.7,0.7,0.8,0.6
"5","1",0.4,0.434782608695652,0.391304347826087,0.247826086956522,0.6,0.5,0.7,0.6,0.6
"6","0",0.6,0.397727272727273,0.363636363636364,0.345454545454546,0.6,0.4,0.4,0.4,0.5
"7","0",0.5,0.208333333333333,0.388888888888889,0.263888888888889,0.1,0.7,0.4,0.7,0.5
"8","0",0.222222222222222,0.394736842105263,0.263157894736842,0.3,0.5,0.4,0.6,0.6,0.7
"9","1",0.5,0.372340425531915,0.340425531914894,0.323404255319149,0.8,0.7,0.9,0.8,0.7
"10","0",0,0.416666666666667,0.333333333333333,0.316666666666667,0.6,0.5,0.8,0.8,0.6
"11","0",0.4,0.48780487804878,0.292682926829268,0.417073170731707,0.2,0.5,0.4,0.3,0.4
"12","0",0,0.4375,0.5,0.285,0.4,0.8,0.6,0.6,0.3
"13","0",0.38,0.416666666666667,0.333333333333333,0.316666666666667,1,0.5,0.6,0.4,0.7
"14","1",0.3,0.416666666666667,0.333333333333333,0.316666666666667,0.7,0.7,0.6,0.7,0.8
"15","0",0.4,0.454545454545455,0.363636363636364,0.345454545454546,0.1,0.6,0.9,0.8,0.6
"16","0",0.6,0.426829268292683,0.341463414634146,0.231707317073171,0.5,0.8,0.3,0.2,0.5
"17","0",0.5,0.543478260869565,0.347826086956522,0.247826086956522,0.3,0.7,0.6,0.9,0.7
"18","0",0.222222222222222,0.4375,0.35,0.3325,0.6,0.5,0.5,0.5,0.6
"19","1",0.5,0.425531914893617,0.382978723404255,0.363829787234043,0.8,0.7,0.9,0.5,0.6
"20","0",0,0.365853658536585,0.341463414634146,0.324390243902439,0.9,0.6,0.7,0.8,0.7
"21","0",0.4,0.460526315789474,0.315789473684211,0.25,0.2,0.7,0.7,0.9,0.7
"22","0",0,0.375,0.5,0.285,0.3,0.9,0.8,0.7,0.7
"23","0",0.38,0.416666666666667,0.333333333333333,0.316666666666667,1,0.7,0.7,0.7,0.7
"24","0",0.3,0.364583333333333,0.333333333333333,0.316666666666667,0.7,0.9,0.7,0.7,0.7
"25","0",0.4,0.4,0.368421052631579,0.316666666666667,0.1,0.9,1,1,0.5
"26","0",0.6,0.472972972972973,0.324324324324324,0.308108108108108,0.7,0.8,0.7,0.9,0.5
"27","0",0.5,0.555555555555556,0.37037037037037,0.281481481481481,0.2,0.8,0.7,0.9,0.7
"28","0",0.222222222222222,0.344827586206897,0.413793103448276,0.262068965517241,0.1,0.7,0.8,0.7,0.7
"29","0",0.5,0.416666666666667,0.285714285714286,0.361904761904762,0.7,0.9,0.9,0.9,0.7
"30","0",0,0.328947368421053,0.421052631578947,0.25,0.5,0.8,0.7,0.7,0.7
"31","0",0.4,0.375,0.4,0.3325,0.3,0.4,0.5,0.7,0.7
"32","0",0,0.394736842105263,0.526315789473684,0.3,0.3,0.8,1,0.8,0.1
"33","0",0.38,0.416666666666667,0.333333333333333,0.316666666666667,1,0.4,0.8,0.7,0.1
"34","1",0.3,0.364583333333333,0.291666666666667,0.35625,1,0.8,1,1,1
"35","0",0.4,0.4,0.36,0.304,0.7,0.6,0.9,0.9,0.7
"36","0",0.6,0.365853658536585,0.341463414634146,0.324390243902439,0.6,0.5,0.4,0.2,0.3
"37","0",0.5,0.546875,0.1875,0.296875,0.4,0.7,0.7,0.5,0.1
"38","0",0.222222222222222,0.394736842105263,0.421052631578947,0.3,0.7,0.5,0.5,0.7,0.6
"39","1",0.5,0.35,0.28,0.38,0.8,0.9,1,0.8,0.8
"40","0",0,0.388888888888889,0.355555555555556,0.295555555555556,0.7,0.8,1,0.8,0.8
"41","0",0.4,0.348837209302326,0.372093023255814,0.353488372093023,0.5,0.5,0.2,0.2,0.5
"42","0",0,0.365853658536585,0.48780487804878,0.324390243902439,0.4,0.8,0.5,0.5,0.4
"43","0",0.38,0.416666666666667,0.333333333333333,0.316666666666667,1,0.4,0.8,0.5,0.5
"44","1",0.3,0.3125,0.25,0.316666666666667,0.7,0.8,0.7,0.9,0.2
"45","0",0.4,0.284090909090909,0.409090909090909,0.302272727272727,0.7,0.6,0.5,0.8,0.4
"46","0",0.6,0.304878048780488,0.341463414634146,0.324390243902439,0.7,0.5,0.5,0.8,0.3
"47","0",0.5,0.238095238095238,0.380952380952381,0.361904761904762,0.3,0.6,0.5,0.6,0.3
"48","0",0.222222222222222,0.403225806451613,0.387096774193548,0.306451612903226,0.5,0.5,0.6,0.5,0.4
"49","1",0.5,0.265957446808511,0.382978723404255,0.363829787234043,0.7,0.7,0.8,0.9,0.4
"50","0",0,0.178571428571429,0.333333333333333,0.316666666666667,1,0.9,0.9,0.5,0.3
"51","0",0.4,0.388888888888889,0.355555555555556,0.38,0.4,0.6,0.6,0.6,0.6
"52","0",0,0.348837209302326,0.465116279069767,0.265116279069767,0.4,0.6,0.6,0.2,0.6
"53","0",0.38,0.416666666666667,0.333333333333333,0.316666666666667,1,0.4,0.4,0.2,0.2
"54","1",0.3,0.326086956521739,0.347826086956522,0.289130434782609,0.7,0.8,0.8,0.8,0.4
"55","0",0.4,0.478723404255319,0.382978723404255,0.282978723404255,0.2,0.5,0.8,0.2,0.3
"56","0",0.6,0.348837209302326,0.372093023255814,0.353488372093023,0.6,0.3,0.1,0.1,0.2
"57","0",0.5,0.390625,0.5,0.2375,0.3,0.8,0.8,0.4,0.7
"58","0",0.222222222222222,0.365853658536585,0.390243902439024,0.324390243902439,0.6,0.4,0.2,0.3,0.5
"59","1",0.5,0.394736842105263,0.368421052631579,0.3,0.6,0.7,0.8,0.9,0.6
"60","0",0,0.35,0.4,0.228,0.7,0.8,0.9,0.7,0.8
"61","0",0.4,0.388888888888889,0.355555555555556,0.337777777777778,0.4,0.4,0.5,0.4,0.4
